iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.950119	0.343909	keep	architecture	itnet_v3-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet_v3-claude-agentic: itnet_k=3, unet_c=16, lr=0.0001, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, max_train_s=1800, seed=42, rationale=iter-1 feasibility: ItNet-v3 k=3 c=16 lr=1e-4 + grad-clip + per-sample itnet.projector + per-sample FBP init, train_n=200 stratified. Seeded from demo_dl champion (hr 0.4676). Hypothesis: DC-step net trains stably and clears baseline.
2		0.947973	0.336656	keep	architecture	itnet_v3-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet_v3-claude-agentic: itnet_k=4, unet_c=16, lr=0.0001, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, max_train_s=1800, seed=42, rationale=iter-2 KNOB=itnet_k 3->4. Trajectory: iter-1 k=3 -> SSIM 0.9501 hr 0.3439. Hypothesis: one more data-consistency unrolling step refines structure -> higher SSIM.
3		0.955102	0.371526	keep	architecture	itnet_v3-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet_v3-claude-agentic: itnet_k=3, unet_c=24, lr=0.0001, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, max_train_s=1800, seed=42, rationale=iter-3 KNOB=unet_c 16->24 (revert k 4->3, which dropped 0.9501->0.9480). Traj: k3 0.9501, k4 0.9480. Hypothesis: from the k=3 best, more denoiser capacity lifts SSIM.
4		0.920541	0.249089	keep	architecture	itnet_v3-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet_v3-claude-agentic: itnet_k=3, unet_c=32, lr=0.0001, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, max_train_s=1800, seed=42, rationale=iter-4 KNOB=unet_c 24->32 (keep k=3). Traj: c16 0.9501 -> c24 0.9551. Hypothesis: capacity helped (c16->c24 +0.005); c32 continues it.
5		0.954943	0.371393	keep	architecture	itnet_v3-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet_v3-claude-agentic: itnet_k=3, unet_c=24, alpha_init=0.006, lr=0.0001, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, max_train_s=1800, seed=42, rationale=iter-5 KNOB=alpha_init 0.0037->0.006 (revert c=32 -> 0.9205). Best c24/k3 0.9551. Hyp: stronger TV prior in the DC steps sharpens structure.
6		0.960324	0.384809	keep	architecture	itnet_v3-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet_v3-claude-agentic: itnet_k=3, unet_c=24, lr=0.0002, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, max_train_s=1800, seed=42, rationale=iter-6 KNOB=lr 1e-4->2e-4 (revert alpha=0.006, flat). Best c24/k3 0.9551. Hyp: higher lr trains the denoiser better at the capacity optimum.
7		0.957115	0.366259	keep	architecture	itnet_v3-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet_v3-claude-agentic: itnet_k=3, unet_c=24, lr=0.0003, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, max_train_s=1800, seed=42, rationale=iter-7 KNOB=lr 2e-4->3e-4. Traj: lr1e-4 0.9551 -> lr2e-4 0.9603 (new best). Hyp: lr is still climbing for ItNet; push to 3e-4.
8		0.962328	0.404694	keep	architecture	itnet_v3-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet_v3-claude-agentic: itnet_k=3, unet_c=24, lr=0.0002, epochs=12, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, max_train_s=1800, seed=42, rationale=iter-8 KNOB=epochs 8->12 (lr=3e-4 regressed; lr=2e-4 0.9603 is the optimum). Hyp: more epochs at the lr optimum squeezes a bit more.
9		0.963384	0.411251	keep	architecture	itnet_v3-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet_v3-claude-agentic: itnet_k=3, unet_c=24, lr=0.0002, epochs=16, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, max_train_s=1800, seed=42, rationale=iter-9 KNOB=epochs 12->16. Traj: ep8 0.9603 -> ep12 0.9623. Hyp: epochs still helping at lr=2e-4 optimum; 16 squeezes more.
10		0.965653	0.425835	keep	architecture	itnet_v3-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet_v3-claude-agentic: itnet_k=3, unet_c=24, lr=0.0002, epochs=20, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, max_train_s=2400, seed=42, rationale=iter-10 KNOB=epochs 16->20. Traj: ep8 0.9603 -> ep12 0.9623 -> ep16 0.9634 (champion). Hyp: epochs still climbing; 20 squeezes a bit more.
