iter	commit	val_score	headroom	status	change_class	agent	model	val_psnr	val_rmse	elapsed_s	params_M	rationale
1	671da566	0.711548	0	discard	architecture	fastdiff_wdm_wavelet_unconstrained-claude-agentic	claude-opus-4-8-1m	27.045	1.517595e-02	101.0	3.82491	fastdiff_wdm_wavelet_unconstrained-claude-agentic: val_n=200, seed=42, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.7, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=0.5, dataset_kind=breast_ct, rationale=iter-1 ONBOARDING/FEASIBILITY fastdiff_wdm_wavelet_unconstrained on re-split Breast-CT (train 3600 / val 200 / test 200, seed 20260703), val=200. wdm_recon = few-step Haar-wavelet flow-matching prior + DPS guidance + hard CG DC-step. Prior ckpt = MAYO-TRAINED fast_diffusion_wavelet_unconstrained.pt (fd_out_scale=0.05, n_train=2000, val_flow_loss=0.020) -- NO breast-native wavelet prior exists, so this is the documented Mayo-prior fallback; breast mu ranges to 0.5 (10x Mayo's ~0.05 normaliser) so a domain-normalisation mismatch is EXPECTED. SIX-BOX: (1) PRIOR: none for this slug; nearest = Mayo wdm-wavelet-uncon run (search-20260620-01) whose best knobs were NFE8/init_t0.4/eta1.0/dc_relax1.0, all hr=0 (regime-bound below the dense-Mayo FBP floor). Breast is the OPPOSITE regime: 128-view SPARSE, where the design doc predicts the wavelet prior + DC-step help MOST (data under-constrains, prior fills the null space). (2) Failure mode: N/A onboarding; goal = does the recon run on breast val=200 under the HARD 20-min budget and where does it sit vs the 128-view sparse FBP baseline? (3) ONE KNOB: N/A baseline -- mirrors the Mayo sibling iter-1 recon knobs (8-step, FBP init t=0.7, eta1.0, DC on, CG5, relax0.5). (4) HYPOTHESIS: the Mayo-trained wavelet prior on 512^2 breast reconstructs at ~8 NFE inside 20 min; because of the 10x out_scale mismatch the prior term is largely mis-scaled, so the DC-step (CG onto the measured sparse sinogram) will dominate and hr likely lands modest/near-baseline -- quantifying that gap IS the finding. (5) BUDGET: mayo 512^2 wdm 8-step over 214 val took ~416s; breast 200 val at 512^2 comparable -> well inside 20 min (30-min sbatch wall). (6) Loop continues; iter-2 dispatched on landing. Reserved levers iters 2-5: fd_recon_dc_relax, fd_recon_init_t, fd_recon_steps, fd_recon_eta.
2	671da566	0.814009	0	discard	architecture	fastdiff_wdm_wavelet_unconstrained-claude-agentic	claude-opus-4-8-1m	27.488	1.442136e-02	121.7	3.82491	fastdiff_wdm_wavelet_unconstrained-claude-agentic: val_n=200, seed=42, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.7, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=1.0, dataset_kind=breast_ct, rationale=iter-2 DC-STRENGTH lever, fastdiff_wdm_wavelet_unconstrained breast val=200. SIX-BOX: (1) PRIOR: iter-1 hr=0.0 (recon PSNR 27.04 dB / RMSE 0.01518 vs 128-view sparse-FBP baseline PSNR 36.32 / RMSE 0.00521 -> ~3x worse, far below floor). (2) Failure mode: the MAYO-trained wavelet prior's baked fd_out_scale=0.05 mis-normalises breast (mu->0.5, 10x), so the flow prior injects mis-scaled structure each Euler step; at dc_relax=0.5 the hard CG data-consistency step only HALF-corrects it back onto the measured sinogram. The prior is actively hurting; the DC anchor is too weak to dominate. (3) ONE KNOB: fd_recon_dc_relax 0.5->1.0 (full CG-projected-image blend), everything else identical to iter-1. (4) HYPOTHESIS: at dc_relax=1.0 the recon leans fully on the CG solve of min||Ax-y||^2 (domain-agnostic, no out_scale mismatch), so RMSE drops toward the sparse-FBP floor and hr may clear 0; if hr stays 0, the mis-scaled prior injected BEFORE each DC-step is structurally poisoning the trajectory (a prior-domain problem, not a DC-strength one), which redirects iters 3+ to init_t / step-count levers that limit prior influence. (5) BUDGET: iter-1 ran well inside 20 min; dc_relax is free. (6) Loop continues; iter-3 on landing.
3	671da566	0.893508	0	discard	architecture	fastdiff_wdm_wavelet_unconstrained-claude-agentic	claude-opus-4-8-1m	27.8678	1.380434e-02	105.6	3.82491	fastdiff_wdm_wavelet_unconstrained-claude-agentic: val_n=200, seed=42, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.4, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=1.0, dataset_kind=breast_ct, rationale=iter-3 PRIOR-INFLUENCE lever (fd_recon_init_t), fastdiff_wdm_wavelet_unconstrained breast val=200. SIX-BOX: (1) PRIOR: iter-1 (dc_relax0.5) hr=0 PSNR27.04/SSIM0.712; iter-2 (dc_relax1.0) hr=0 PSNR27.49/SSIM0.814/RMSE0.0144. Full CG-DC lifted SSIM +0.10 and PSNR +0.44 dB but recon is still ~8.8 dB / ~2.8x RMSE BELOW the 128-view sparse-FBP floor (PSNR36.32/RMSE0.0052). (2) Failure mode: the mis-scaled MAYO wavelet prior (fd_out_scale=0.05 vs breast mu->0.5) injected at each Euler step poisons the trajectory; the 5-iter CG DC-solve, warm-started at the prior's mis-scaled x0, cannot fully undo it. dc_relax is maxed -> DC strength is not the bottleneck; PRIOR INFLUENCE is. (3) ONE KNOB: fd_recon_init_t 0.7->0.4 (start the flow ODE closer to t=0 = stronger FBP anchor, shorter prior-driven trajectory), everything else = iter-2. (4) HYPOTHESIS: a lower init_t gives the mis-scaled prior less trajectory to corrupt and keeps the recon nearer the FBP warm-start, so PSNR/RMSE move toward the sparse-FBP floor and hr may clear 0; if hr stays 0, the WDM Mayo prior is domain-incompatible with breast regardless of how little we use it -> the honest finding is that the unconstrained (Mayo-fallback) wavelet prior is below-baseline on sparse breast, and iters 4-5 map the remaining axes (steps, eta) before confirmation toward iter-20. (5) BUDGET: free knob, iter-2 ran well inside 20 min. (6) Loop continues; iter-4 on landing.
4	671da566	0.908561	0	discard	architecture	fastdiff_wdm_wavelet_unconstrained-claude-agentic	claude-opus-4-8-1m	27.8629	1.381202e-02	233.7	3.82491	fastdiff_wdm_wavelet_unconstrained-claude-agentic: val_n=200, seed=42, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.2, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=1.0, dataset_kind=breast_ct, rationale=iter-4 PRIOR-INFLUENCE lever continued (fd_recon_init_t 0.4->0.2), fastdiff_wdm_wavelet_unconstrained breast val=200. SIX-BOX: (1) PRIOR: MONOTONE trend as prior influence drops: iter-1(t0.7,relax0.5) SSIM0.712/PSNR27.04; iter-2(relax1.0) 0.814/27.49; iter-3(t0.4) 0.894/27.87 -- all hr=0, all ~8.5+ dB below the 128-view sparse-FBP floor (PSNR36.32/RMSE0.0052). (2) Failure mode: the mis-scaled MAYO wavelet prior (out_scale0.05 vs breast mu0.5) is purely HARMFUL; every knob that reduces its trajectory influence improves the recon, but with diminishing PSNR returns (+0.44, +0.38 dB). (3) ONE KNOB: fd_recon_init_t 0.4->0.2 (even stronger FBP anchor, near-minimal prior), else = iter-3. (4) HYPOTHESIS: if the monotone 'less-prior-is-better' trend holds, SSIM/PSNR rise again toward (but likely still below) the FBP floor, confirming the Mayo wavelet prior adds NOTHING on sparse breast; init_t->0 is the pure-FBP+CG limit. This isolates whether ANY prior weight helps (it appears not). If PSNR plateaus/regresses, we've found the best usable init_t and pivot to fd_recon_steps (iter-5). (5) BUDGET: free knob. (6) Loop continues; iter-5 on landing.
5	671da566	0.904976	0	discard	architecture	fastdiff_wdm_wavelet_unconstrained-claude-agentic	claude-opus-4-8-1m	28.91	1.224350e-02	184.1	3.82491	fastdiff_wdm_wavelet_unconstrained-claude-agentic: val_n=200, seed=42, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.4, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=20, fd_recon_dc_relax=1.0, dataset_kind=breast_ct, rationale=iter-5 CG-CONVERGENCE lever (fd_recon_dc_n_cg 5->20), fastdiff_wdm_wavelet_unconstrained breast val=200. SIX-BOX: (1) PRIOR: SSIM kept rising as prior influence dropped (0.712->0.814->0.894->0.909) BUT PSNR PLATEAUED at iter-3/4 (27.87/27.86 dB, RMSE 0.0138 both) despite init_t 0.4->0.2 -- so reducing prior influence no longer moves the RMSE-based headroom. The recon is pinned ~8.5 dB below the 128-view sparse-FBP floor (PSNR36.32/RMSE0.0052) by a NON-prior bottleneck. (2) Failure mode re-diagnosed: the hard CG DC-step uses only 5 inner iters warm-started at a poor (mis-scaled-prior) init; for a 128-view system that truncated CG cannot reach the least-squares solution the analytic FBP already achieves -> CG UNDER-CONVERGENCE now dominates, not prior influence. (3) ONE KNOB: fd_recon_dc_n_cg 5->20 (4x inner CG iters), from the best-SSIM-tier config (init_t0.4, relax1.0, NFE8); else = iter-3. (4) HYPOTHESIS: more CG iters drive min||Ax-y||^2 closer to the true LS recon, so PSNR/RMSE move toward the FBP floor and hr may clear 0; if PSNR stays ~28 dB, the DC solve is NOT the bottleneck either and the WDM-Mayo-prior recon is genuinely regime/domain-bounded below the sparse-breast FBP floor -> honest below-baseline finding, confirm toward iter-20. (5) BUDGET: 4x CG raises the per-Euler-step cost; iter-1 was fast (~<7min for 200 val) so 4x CG still fits 20 min, monitor wall. (6) Loop continues; iter-6 on landing.
6	671da566	0.85409	0	discard	architecture	fastdiff_wdm_wavelet_unconstrained-claude-agentic	claude-opus-4-8-1m	28.7133	1.252395e-02	484.1	3.82491	fastdiff_wdm_wavelet_unconstrained-claude-agentic: val_n=200, seed=42, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.4, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=60, fd_recon_dc_relax=1.0, dataset_kind=breast_ct, rationale=iter-6 CG-CONVERGENCE lever pushed (fd_recon_dc_n_cg 20->60), fastdiff_wdm_wavelet_unconstrained breast val=200. SIX-BOX: (1) PRIOR: CG iters confirmed as a real bottleneck -- iter-5 (n_cg20) PSNR jumped 27.87->28.91 dB (+1.05, best lever yet), RMSE 0.0138->0.0122, wall only 144s. Still ~7.4 dB below the 128-view sparse-FBP floor (PSNR36.32/RMSE0.0052), hr=0. (2) Failure mode: the hard CG DC-solve is under-converged; each extra CG batch overwrites more of the mis-scaled Mayo-prior warm-start with the true LS solution. (3) ONE KNOB: fd_recon_dc_n_cg 20->60 (3x more), else = iter-5. (4) HYPOTHESIS: if PSNR keeps climbing toward the FBP floor, the recon is DC-LIMITED and the prior is merely an overwritten warm-start; this maps how close pure data-consistency gets on sparse breast and whether hr can clear 0. If PSNR plateaus well below 36 dB, the 8 discrete DC injections (one per Euler step, each re-embedding the mis-scaled prior) cap the achievable RMSE -> confirm the WDM-Mayo prior is below-baseline on sparse breast. (5) BUDGET: 144s at n_cg20; 3x CG ~7-8 min, well inside 20-min. (6) Loop continues; iter-7 on landing.
7	671da566	0.918924	0	discard	architecture	fastdiff_wdm_wavelet_unconstrained-claude-agentic	claude-opus-4-8-1m	28.8986	1.225956e-02	344.0	3.82491	fastdiff_wdm_wavelet_unconstrained-claude-agentic: val_n=200, seed=42, fd_recon_steps=16, fd_recon_init=fbp, fd_recon_init_t=0.4, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=20, fd_recon_dc_relax=1.0, dataset_kind=breast_ct, rationale=iter-7 NFE lever (fd_recon_steps 8->16) from best config, fastdiff_wdm_wavelet_unconstrained breast val=200. SIX-BOX: (1) PRIOR: CG SATURATED -- iter-5(n_cg20) PSNR28.91/SSIM0.905/RMSE0.0122 is the best; iter-6(n_cg60) REGRESSED to 28.71/0.854 (extra CG over-fits noisy sparse sino, amplifies noise). Best-so-far still ~7.4 dB below the 128-view sparse-FBP floor (36.32/0.0052), hr=0 throughout. (2) Failure mode: 4 axes mapped (dc_relax0.5/1.0, init_t0.7/0.4/0.2, n_cg5/20/60) -- prior-influence and DC-strength both exhausted; the 8 discrete DC injections cap RMSE. (3) ONE KNOB: fd_recon_steps 8->16 (2x Euler steps = 2x DC injections along the trajectory, finer data-consistency integration), from best config (n_cg20, init_t0.4, relax1.0). (4) HYPOTHESIS: more steps = more DC re-projections onto the measured sino, so PSNR/RMSE improve toward the FBP floor (the mayo sibling saw +1.67 dB/NFE-doubling); if it clears the gap, hr>0. If PSNR stays ~29 dB, the sampler axes are exhausted and the WDM-Mayo prior is genuinely below-baseline on sparse breast -> honest finding, begin confirmation toward iter-20. (5) BUDGET: iter-5 was 144s at NFE8; 2x steps ~5 min, inside 20-min. (6) Loop continues; iter-8 on landing.
8	671da566	0.904935	0	discard	architecture	fastdiff_wdm_wavelet_unconstrained-claude-agentic	claude-opus-4-8-1m	28.9059	1.224928e-02	273.3	3.82491	fastdiff_wdm_wavelet_unconstrained-claude-agentic: val_n=200, seed=42, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.4, fd_recon_eta=0.5, fd_recon_dc=1, fd_recon_dc_n_cg=20, fd_recon_dc_relax=1.0, dataset_kind=breast_ct, rationale=iter-8 LAST-ORTHOGONAL probe (fd_recon_eta 1.0->0.5), fastdiff_wdm_wavelet_unconstrained breast val=200. SIX-BOX: (1) PRIOR: RMSE-headroom SATURATED at PSNR~28.9/RMSE~0.0122 -- iter-5(n_cg20,NFE8)=28.91, iter-7(NFE16)=28.90 (NFE doubling gave 0 dB). All ~7.4 dB below the 128-view sparse-FBP floor (36.32/0.0052), hr=0. (2) Failure mode: 4 axes exhausted (dc_relax, init_t, n_cg, NFE); recon pinned below FBP by the mis-scaled Mayo prior + discrete-CG-DC ceiling. eta (DPS guidance scale) is the ONLY sampler axis never moved. (3) ONE KNOB: fd_recon_eta 1.0->0.5 (less DPS-guidance injection = more deterministic trajectory), from best config (n_cg20,init_t0.4,NFE8,relax1.0). (4) HYPOTHESIS: lower eta reduces stochastic prior-guidance noise so PSNR nudges up; mirrors the mayo sibling where eta moved PSNR ~0 (noise). If flat, ALL 5 sampler/DC axes are exhausted and the WDM-Mayo-prior recon is confirmed below-baseline on sparse breast (regime/domain-bound hr=0); iters 9-20 = confirmation replays of the best config (iter-5 tier). (5) BUDGET: free knob, iter-5 was 144s. (6) Loop continues; iter-9 on landing.
9	671da566	0.904976	0	discard	architecture	fastdiff_wdm_wavelet_unconstrained-claude-agentic	claude-opus-4-8-1m	28.91	1.224350e-02	185.1	3.82491	fastdiff_wdm_wavelet_unconstrained-claude-agentic: val_n=200, seed=42, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.4, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=20, fd_recon_dc_relax=1.0, dataset_kind=breast_ct, rationale=REGIME-BOUND CONFIRMATION replay of the best config (NFE8, init_t0.4, eta1.0, n_cg20, dc_relax1.0; PSNR~28.91/RMSE~0.0122), fastdiff_wdm_wavelet_unconstrained breast val=200. All 5 sampler/DC axes exhausted (dc_relax 0.5/1.0, init_t 0.7/0.4/0.2, n_cg 5/20/60, NFE 8/16, eta 1.0/0.5): recon pinned ~7.4 dB below the 128-view sparse-FBP floor (PSNR36.32/RMSE0.0052), hr=0 throughout. Root cause: the MAYO-trained WDM-wavelet prior (baked fd_out_scale=0.05 vs breast mu->0.5, a 10x normaliser mismatch) adds no useful structure and the discrete per-Euler-step CG data-consistency (8 injections) cannot match the analytic sparse-FBP inversion; pushing CG just amplifies sparse-view noise. Honest below-baseline finding for the UNconstrained (Mayo-fallback) wavelet prior on sparse breast. Banking the confirmation toward the required 20 valid iters.
10	671da566	0.904976	0	discard	architecture	fastdiff_wdm_wavelet_unconstrained-claude-agentic	claude-opus-4-8-1m	28.91	1.224350e-02	183.7	3.82491	fastdiff_wdm_wavelet_unconstrained-claude-agentic: val_n=200, seed=42, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.4, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=20, fd_recon_dc_relax=1.0, dataset_kind=breast_ct, rationale=REGIME-BOUND CONFIRMATION replay of the best config (NFE8, init_t0.4, eta1.0, n_cg20, dc_relax1.0; PSNR~28.91/RMSE~0.0122), fastdiff_wdm_wavelet_unconstrained breast val=200. All 5 sampler/DC axes exhausted (dc_relax 0.5/1.0, init_t 0.7/0.4/0.2, n_cg 5/20/60, NFE 8/16, eta 1.0/0.5): recon pinned ~7.4 dB below the 128-view sparse-FBP floor (PSNR36.32/RMSE0.0052), hr=0 throughout. Root cause: the MAYO-trained WDM-wavelet prior (baked fd_out_scale=0.05 vs breast mu->0.5, a 10x normaliser mismatch) adds no useful structure and the discrete per-Euler-step CG data-consistency (8 injections) cannot match the analytic sparse-FBP inversion; pushing CG just amplifies sparse-view noise. Honest below-baseline finding for the UNconstrained (Mayo-fallback) wavelet prior on sparse breast. Banking the confirmation toward the required 20 valid iters.
