iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.645085	0	discard	architecture	diffusion_recon_dcstep_unconstrained_mayo_v4-claude-agentic-breast-ct	claude-opus-4.7-1m	diffusion_recon_dcstep_unconstrained_mayo_v4-claude-agentic: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_unconstrained_v4.pt, recon_mode=dps, recon_sample_steps=100, recon_eta=10.0, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=1.0, val_n=20, train_n=0, seed=42, rationale=iter-1 (campaign onboard): diffusion_recon DPS+DC-step vs REUSED Mayo DDPM v4 unconstrained prior (no retrain) under search-20260614-01. Seed v3-winner hyperparams (eta=10, dcstep_every=3, n_cg=10) but val_n=20 (campaign-comparable; prior runs were val_n=3 hr0.21) + sample_steps=100 (feasible in 2h). Hyp: clears FBP (hr>0) - the only generative-prior solver to do so
2		0.659455	0	discard	architecture	diffusion_recon_dcstep_unconstrained_mayo_v4-claude-agentic-breast-ct	claude-opus-4.7-1m	diffusion_recon_dcstep_unconstrained_mayo_v4-claude-agentic: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_unconstrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=10.0, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=1.0, val_n=20, train_n=0, seed=42, rationale=iter-2 (toward 20): sample_steps 100->200 (iter-1 SSIM 0.645 anomalously low vs prior hr0.21 runs; v3-winner used 200 steps - 100 under-samples the v4 prior, DPS diverges. Restore known-good schedule; ~21min)
3		0.787074	0	discard	architecture	diffusion_recon_dcstep_unconstrained_mayo_v4-claude-agentic-breast-ct	claude-opus-4.7-1m	diffusion_recon_dcstep_unconstrained_mayo_v4-claude-agentic: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_unconstrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=20.0, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=1.0, val_n=20, train_n=0, seed=42, rationale=iter-3 (toward 20): recon_eta 10->20 at steps=200 (uncon hr=0 - DPS under-corrects vs constrained hard-DC hr0.06; bolder eta = stronger data-fidelity gradient)
4		0.683238	0	discard	architecture	diffusion_recon_dcstep_unconstrained_mayo_v4-claude-agentic-breast-ct	claude-opus-4.7-1m	diffusion_recon_dcstep_unconstrained_mayo_v4-claude-agentic: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_unconstrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=20.0, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=1, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=1.0, val_n=20, train_n=0, seed=42, rationale=iter-4 (toward 20): dcstep_every 3->1 at FIXED geom (uncon eta=20 = 0.787 hr0 vs correct FBP 0.94; project to data every step = max consistency, pull toward FBP - how close can hard-DC bring the DDPM sample?)
5		0.813698	0	discard	architecture	diffusion_recon_dcstep_unconstrained_mayo_v4-claude-agentic-breast-ct	claude-opus-4.7-1m	diffusion_recon_dcstep_unconstrained_mayo_v4-claude-agentic: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_unconstrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=20.0, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=5, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=1.0, val_n=20, train_n=0, seed=42, rationale=iter-5 (toward 20): dcstep_every 3->5 at eta=20 (every=1 HURT 0.787->0.683 - frequent DC re-injects LD noise, exactly itnet k3->1 insight; gentler DC every-5 may reduce noise re-injection further)
6		0.828003	0	discard	architecture	diffusion_recon_dcstep_unconstrained_mayo_v4-claude-agentic-breast-ct	claude-opus-4.7-1m	diffusion_recon_dcstep_unconstrained_mayo_v4-claude-agentic: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_unconstrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=20.0, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=8, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=1.0, val_n=20, train_n=0, seed=42, rationale=iter-6 (toward 20): dcstep_every 5->8 (DC-frequency curve climbing: 1=0.683, 3=0.787, 5=0.8137; gentler DC re-injects less LD noise (itnet k-curve analog); push toward minimal DC)
7		0.839517	0	discard	architecture	diffusion_recon_dcstep_unconstrained_mayo_v4-claude-agentic-breast-ct	claude-opus-4.7-1m	diffusion_recon_dcstep_unconstrained_mayo_v4-claude-agentic: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_unconstrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=20.0, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=12, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=1.0, val_n=20, train_n=0, seed=42, rationale=iter-7 (toward 20): dcstep_every 8->12 (still climbing: 5=0.814, 8=0.828; push toward minimal-DC - find where gentle data-consistency peaks for unconstrained DPS)
8		0.834522	0	discard	architecture	diffusion_recon_dcstep_unconstrained_mayo_v4-claude-agentic-breast-ct	claude-opus-4.7-1m	diffusion_recon_dcstep_unconstrained_mayo_v4-claude-agentic: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_unconstrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=20.0, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=20, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=1.0, val_n=20, train_n=0, seed=42, rationale=iter-8: dcstep_every 12->20 (uncon climbing 8=0.828,12=0.8395; gentler DC)
9		0.865726	0	discard	architecture	diffusion_recon_dcstep_unconstrained_mayo_v4-claude-agentic-breast-ct	claude-opus-4.7-1m	diffusion_recon_dcstep_unconstrained_mayo_v4-claude-agentic: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_unconstrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=40.0, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=12, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=1.0, val_n=20, train_n=0, seed=42, rationale=iter-9 (toward 20): recon_eta 20->40 at dcstep_every=12 optimum (DC-freq peaked at 12=0.8395; now tune eta - constrained climbed 0.72->0.845 via eta, does uncon gain too?)
10		0.866131	0	discard	architecture	diffusion_recon_dcstep_unconstrained_mayo_v4-claude-agentic-breast-ct	claude-opus-4.7-1m	diffusion_recon_dcstep_unconstrained_mayo_v4-claude-agentic: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_unconstrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=80.0, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=12, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=1.0, val_n=20, train_n=0, seed=42, rationale=iter-10 (toward 20): recon_eta 40->80 at dcstep_every=12 optimum. UNCONSTRAINED DPS is structurally hr=0 (<LD-FBP ~0.94 SSIM): it applies only a SOFT adaptive-weight gradient nudge x_t-=zeta_t*grad||Ax0-y||^2, never the hard projection onto Ax=y the constrained variant uses, so the DDPM prior keeps pulling the sample off the measured manifold. The eta lever recovers ground toward FBP and is still climbing (20=0.8395, 40=0.8657); double again to test whether soft fidelity is still gaining or has saturated below the hard-DC ceiling.
