iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1	804bd09	0.6445	0.568	keep	architecture	claude	claude-sonnet-4.5	Baseline. Dual-domain U-Net (c=16) on Wagner @ 128 sparse views, AdamW lr=3e-4 wd=1e-4, 8 epochs, 400 synthetic ellipse phantoms. Converged at loss 0.00037. PSNR 31.86 dB SSIM 0.6445, headroom 0.5680 over the sparse-view FBP baseline (PSNR 24.57).
2	dc68d37	0.6418	0.5667	discard	augmentation	claude	claude-sonnet-4.5	Tried horizontal-flip data augmentation (effective 2x dataset) with epochs halved 8->4 to keep total step count constant. Val 0.6445 -> 0.6418 (-0.4%), within noise. Augmentation at fixed compute did not help on this 400-phantom random-ellipse subset. Reverting solver.py to iter-1 baseline.
3	492f8ae	0.6343	0.5647	discard	architecture	claude	claude-sonnet-4.5	Increased unet_c=16 -> 24 (params 0.466M -> 1.045M, 2.25x). Val SSIM 0.6445 -> 0.6343 (-1.6%), just over noise. Bigger model overfits the 400-phantom subset slightly. c=16 confirmed near optimal at this data budget. Reverting.
4	871f867	0.6486	0.5727	keep	optimizer	claude	claude-sonnet-4.5	Lowered AdamW lr 3e-4 -> 1e-4. Val SSIM 0.6445 -> 0.6486 (+0.4%), PSNR 31.86 -> 31.95 (+0.09 dB). Marginal but consistent improvement at fixed compute. Training loss plateau (0.00037) reached at same epoch in both — the gain is from a slightly better minimum, not under-training.
5	c4014c5	0.649	0.571	discard	optimizer	claude	claude-sonnet-4.5	Added cosine LR schedule (1e-4 -> 1e-6) on top of iter-4's flat lr=1e-4. Val SSIM 0.6486 -> 0.6490 (+0.06%), within noise. Training loss plateau (~0.00038) reached at same epoch as the flat-LR run. Convergence is not LR-schedule-limited at this configuration.
6	e0b10fe	0.6509	0.5664	discard	loss	claude	claude-sonnet-4.5	Swapped Noise2Inverse loss MSE -> L1 (added n2i_step in solver.py since DualDomainPipeline.training_step is fixed). SSIM 0.6486 -> 0.6509 (+0.4% in-noise), but RMSE-based headroom 0.5727 -> 0.5664 (-1.1%, outside noise). Classic MSE/L1 trade-off: L1 sharper, MSE more pixel-accurate. Pentathlon scores headroom -> discard.
7	e1fc953	0.6471	0.5755	discard	other	claude	claude-sonnet-4.5	Increased train_n 400->600. SSIM 0.6486 -> 0.6471 (-0.2% noise), headroom 0.5727 -> 0.5755 (+0.5% within noise). Marginal positive on headroom but training time +50% (5:00). We are saturated on the synthetic random-ellipse distribution at c=16.
8	a7921c8	0.6421	0.5661	discard	architecture	claude	claude-sonnet-4.5	Asymmetric: proj_denoiser c=24, image_denoiser c=16 (total 0.76M params). Hypothesis was that proj-domain (1152x736 canvas, complex streak structure) benefits from more capacity. Val 0.6486 -> 0.6421 (-1.0%), headroom 0.5727 -> 0.5661 (-1.1%). Both directions of capacity change from symmetric c=16/c=16 hurt. The symmetric configuration is robust.
9	e7ffb5e	0.6371	0.5562	discard	architecture	claude	claude-sonnet-4.5	SmallUNet residual=True -> False (predict image directly instead of noise residual). Val 0.6486 -> 0.6371 (-1.8%), headroom 0.5727 -> 0.5562 (-2.9%). The noise-prediction (residual) parameterization is materially better here.
10	2486fb9	0.6413	0.5652	discard	architecture	claude	claude-sonnet-4.5	unet_c=16 -> 12 (params 0.47M -> 0.26M, Occam test). Val 0.6486 -> 0.6413 (-1.1%), headroom 0.5727 -> 0.5652 (-1.3%). c=12 also loses, just as c=24 lost in iter-3. The optimum is now bracketed at c=16 from both sides.
11	c3320ef	0.6452	0.5707	discard	optimizer	claude	claude-sonnet-4.5	Adam vs AdamW with weight_decay=1e-4. Val 0.6486 -> 0.6452 (-0.5%), headroom 0.5727 -> 0.5707 (-0.4%) — both within noise. wd=1e-4 makes essentially no difference at this configuration; AdamW marginally preferred.
12	17700f8	0.4745	0.511	discard	loss	claude	claude-sonnet-4.5	Added forward-projection data-consistency MSE(R*y_hat, x_a) at lambda=0.05. Val SSIM 0.6486 -> 0.4745 (-26.8%), headroom 0.5727 -> 0.5110 (-10.8%). Catastrophic: the consistency term against the *noisy* input sinogram pulls the model toward fitting noise, defeating the denoising objective.
13	906a41d	0.5102	0.5525	discard	loss	claude	claude-sonnet-4.5	Halved consistency_weight further from 0.05 -> 0.005. Val 0.6486 -> 0.5102 (-21.4%), still catastrophic. Even tiny lambda > 0 pulls the model toward fitting noisy sino. The MSE(R*y_hat, x_noisy) consistency term is structurally incompatible with self-supervised denoising — there is no positive lambda regime.
14	7563c4b	0.6424	0.566	discard	architecture	claude	claude-sonnet-4.5	TwoStageDenoiser per domain (stack 2 SmallUNets, 0.93M params, doubles depth). Val 0.6486 -> 0.6424 (-1.0%), headroom 0.5727 -> 0.5660 (-1.2%). Train_time 326s (over 5-min budget). Same overfit pattern as iter-3 c=24 (1.05M params): at 400 phantoms, ~1M params is the overfit threshold whether you spend it on width or depth.
15	6469693	0.6451	0.5701	discard	optimizer	claude	claude-sonnet-4.5	Lowered lr 1e-4 -> 5e-5. Val 0.6486 -> 0.6451 (-0.5%), headroom 0.5727 -> 0.5701 (-0.5%) — both within noise. Loss plateau at 0.00038 (one tick worse than 0.00037 at lr=1e-4). LR=1e-4 confirmed as the local optimum: 3e-4 below, 5e-5 below, 1e-4 best.
16	0dbf5d7	0.6537	0.576	keep	architecture	claude	claude-sonnet-4.5	Replaced image_denoiser = SmallUNet with UNetPlusBF = SmallUNet + TrainableBilateralFilter2d tail (Wagner 2022). Val SSIM 0.6486 -> 0.6537 (+0.8%), headroom 0.5727 -> 0.5760 (+0.6%) — first improvement since iter-4. BF adds ~3 params, train_time +17%. The interpretable edge-preserving filter sharpens the U-Net's output on sparse-view streaks.
17	c871f22	0.651	0.5738	discard	architecture	claude	claude-sonnet-4.5	Extended BF tail to proj_denoiser too (symmetric Wagner-2022 dual BF). Val 0.6537 -> 0.6510 (-0.4%), headroom 0.5760 -> 0.5738 (-0.4%). Sinograms lack the anatomical edges BF exploits; asymmetric (BF on image only) is the winner. Building on iter-16, not iter-17.
18	36769cc	0	0	crash	architecture	claude	claude-sonnet-4.5	bf_kernel 7 -> 11. Training succeeded (loss 0.00037, normal), but pipe.predict(val_noisy) at val_n=100 OOMed: BF unfold creates 121x channels for a 512^2 image, ~12 GB intermediate. Need either smaller kernel or chunked validation.
19	d4086f7	0.6499	0.5739	discard	architecture	claude	claude-sonnet-4.5	bf_kernel 7 -> 9. Val 0.6537 -> 0.6499 (-0.6%), headroom 0.5760 -> 0.5739 (-0.4%). 7 is the BF window sweet spot: 7 > 9 > 11 (OOM).
20	07ec77d	0.6496	0.5738	discard	optimizer	claude	claude-sonnet-4.5	epochs 8 -> 10 on iter-16 baseline. Val 0.6537 -> 0.6496 (-0.6%), headroom 0.5760 -> 0.5738 (-0.4%). Loss plateau 0.00037 hit by epoch 6 in both 8 and 10 epoch runs; extra epochs don't help.
21	366ec9f	0.6478	0.5727	discard	architecture	claude	claude-sonnet-4.5	Stacked 2 BFs after the U-Net (n_bf=2). Val 0.6537 -> 0.6478 (-0.9%), headroom 0.5760 -> 0.5727 (-0.6%). Two BFs in series over-smooth — kernel=7 once is enough.
22	9547e02	0.6518	0.5748	discard	optimizer	claude	claude-sonnet-4.5	weight_decay 1e-4 -> 1e-3 on iter-16 baseline. Val 0.6537 -> 0.6518 (-0.3%), headroom 0.5760 -> 0.5748 (-0.2%) — both within noise. Stronger WD doesn't compound with BF; the small wd was already adequate.
24	e62c86a	0.306966	0.575902	keep	other	claude-main	claude-sonnet-4.5	Re-measurement of iter-16 c=16+BF architecture under FIXED calibration (data_range=display_max-display_min=0.05). Headroom 0.576 unchanged (RMSE-ratio is scale-invariant); val_ssim 0.6537->0.3070 because auto data_range was previously inflated by FBP overshoot (~0.07). All future iterations compete against THIS calibrated baseline. Also adds GPU pin q8000 + chunked validation so iter does not OOM on smaller cards.
25	0d512cd	0.309918	0.580708	keep	architecture	claude-main	claude-sonnet-4.5	Cross-ported spawn-agent B (dl-sparse-view-res) iter-2 winner: symmetric 6-block c=32 GroupNorm-ReLU residual stack with global residual head, replacing the U-Net+BF (iter-16/24 baseline). Result under calibration: val_ssim 0.3070->0.3099 (+0.9%), headroom 0.5759->0.5807 (+0.83%, NEW BEST) at 0.225 M params vs 0.466 M (half the parameter count). Confirms Sidky 2022 finding that residual / DnCNN-style families are competitive with U-Net on sparse-view CT. Single change: build_denoisers now returns ResidualStack pair when img_denoiser="resnet"; everything else (lr, epochs, wd, seed, calibration) held constant.
26	bbade5c	0.294659	0.576841	discard	other	claude-main	claude-sonnet-4.5	Per-epoch noise resampling (new (phantom, low-dose-noise) pair every epoch, same 400 phantoms; effective 3200 train pairs). Headroom 0.5807 -> 0.5768 (-0.67%), val_ssim 0.3099 -> 0.2947 (-4.9%). Worse. Hypothesis: the dual-domain N2I training_step already does its own per-batch noise split (Wagner 2022 Noise2Inverse), so adding per-epoch noise variation breaks that internal noise structure rather than augmenting it. Discard; reverting solver to iter-25 baseline.
