iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1	969fb99	0	0	crash	architecture	claude	claude-sonnet-4.5	iter-1 LPD-style unrolled image_denoiser (K=2, alpha=0.1, +BF tail). Training diverged: DC gradient step R^T(Rz-g) blew up at epoch 5 (loss 0.04 to 0.17) and timed out at epoch 7/8. Issue is the |R^T R| spectral norm is ~N_angles*det_norm >> 1, so alpha=0.1 is far too large. Need to either init alpha << 1e-3 or precondition the gradient. Inspired by Sidky 2022 top teams (ItNet, YM&RH variational network).
2	cd85445	0	0	crash	architecture	claude	claude-sonnet-4.5	iter-2 K=1 LPD + FBP-preconditioning. Training still diverged (loss 0.00078 -> 0.013, alpha climbing 0.52 -> 0.76) and timed out at ~6 min. FBP-preconditioned grad x_k+1=(1-alpha)*z + alpha*x_in is a learnable interp between denoised and input image; the projection round-trip in the loss path destabilises it. Time cost of even K=1 fp+fbp per call is prohibitive (added 2x to runtime). Pivoting iter-3 to pure shared-weight iterated U-Net (no explicit fp/bp in denoiser).
3	fa7341a	0	0	crash	architecture	claude	claude-sonnet-4.5	iter-3 shared-weight iterated U-Net K=2 + BF tail (no projections). Training converged cleanly to loss 0.00037 (same plateau as iter-16 baseline). However iter-unet x2 doubles forward-pass cost and the whole job timed out at the slurm wall (8 min) before validation completed. Train_time was 400s. Next: cut epochs 8 -> 6 to fit the budget.
4	8f2e41a	0	0	crash	architecture	claude	claude-sonnet-4.5	iter-4 iter_unet_bf K=2 epochs=6: training succeeded (253s, loss converged to 0.00037) but validation OOM'd at the BF unfold (4.79 GiB) — same OOM signature as main-agent iter-18 (BF kernel=11). The iterated K=2 U-Net plus BF needs more memory at val_n=100. Next: chunked validation (val_chunk=16).
5	8853c2e	0.6568	0.5788	keep	architecture	claude	claude-sonnet-4.5	Shared-weight iterated U-Net K=2 + BF tail (epochs=6 + chunked val=16). val SSIM 0.6568 vs main-agent best 0.6537 (+0.5%), headroom 0.5788 vs 0.576 (+0.5% relative). The same SmallUNet applied 2x in sequence is a cheap iterative refinement: same params (0.466M) as iter-16 baseline, train time 253s (under wall). Iter-14 (unshared K=2 stack) hurt by 1.0% with 2x params, confirming weight-sharing is the key. Inspired by Sidky 2022 §III ItNet's unrolled U-Net iteration.
6	46036ab	0.6515	0.5767	discard	architecture	claude	claude-sonnet-4.5	K=3 shared-weight iterated U-Net + BF (epochs=5 to fit budget). val 0.6515 vs iter-5 best 0.6568 (-0.8%). K=3 is too deep at constant params; the same SmallUNet applied 3x can't carry the inductive bias for a 3-stage refinement. Possible alternative: K=3 with epochs=8 needs ~470s train but val likely improves. Reverting to K=2 / epochs=6.
7	20e2459	0.3067	0.5745	keep	other	claude	claude-sonnet-4.5	Re-baseline iter-5's K=2 shared-weight iter U-Net + BF (epochs=6) under FIXED calibration (display_min=0, display_max=0.05, data_range=0.05) — ported from main-agent iter-24 fix. Headroom 0.5745 (down from previously-reported 0.5788, which was inflated by auto-data-range drift). Now comparable to main iter-25 residual stack (0.5807) and spawn-B iter-2 (0.5831). I'm 0.6-0.9% headroom behind; need iterative gains on top of the calibrated baseline.
8	c0a1320	0	0	crash	architecture	claude	claude-sonnet-4.5	iter-8 IteratedResidualStack K=2 (port main iter-25 / spawn-B iter-2 6-block c=32 resnet, share weights, K=2). Timed out at 8:11 after only 3 epochs (loss converging nicely at 0.00039). Full-res 6-block resnet x2 is ~2x the compute of K=2 U-Net; doesn't fit 5-min wall. Next: K=2 + n_blocks=4 to shrink the per-pass cost.
9	7635d8b	0	0	crash	architecture	claude	claude-sonnet-4.5	iter-9 IterResStack K=2 n_blocks=4: timed out at 8:14, completed 5/6 epochs. K=2 ResStack is more expensive per-call than K=2 SmallUNet because ResStack has no down/upsampling — every block is full-res 512x512 conv. Need to drop n_blocks further or accept fewer epochs.
10	ede487f	0.2883	0.5754	discard	architecture	claude	claude-sonnet-4.5	iter-10 IterResStack K=2 n_blocks=3 (params 0.113M, eff depth 6 blocks). Train completed (401s, loss 0.00038). val 0.2883/headroom 0.5754 — marginal vs iter-7 K=2 UNet (0.5745), well below main iter-25 K=1 6-block resnet (0.5807) and spawn-B iter-2 (0.5831). At this compute envelope, K=1 + bigger model beats K=2 + smaller model: iteration costs us training depth/epochs we can't recover. Next: inference-time K=2 on K=1-trained model.
