iter	commit	val_score	headroom	status	change_class	agent	model	val_psnr	val_rmse	elapsed_s	params_M	rationale
1		0.984897	0.577687	keep	architecture	hammernik_2017-claude-agentic	claude-opus-4-8-1m	43.8115	2.202058e-03	1084.5	0.005379	hammernik_2017-claude-agentic: vn_T=3, vn_n_filters=16, vn_kernel=9, vn_n_bumps=31, vn_x_range=2.0, vn_filter_init_std=0.05, vn_rbf_init_std=0.01, vn_lambda_init=0.0097, epochs=30, batch_size=2, lr=0.00096, grad_clip=1.0, train_n=400, val_n=200, seed=42, max_train_s=1000, rationale=iter-1 FEASIBILITY seed for Hammernik-2017 on the REDONE Breast-CT split (train3600/val200/test200). Seeded from the prior breast TPE optimum (search-20260521-01 iter-15: hr=0.4549 val-only, ep=30 lr=9.6e-4 T=3 filters=16 kernel=9 lambda_init=9.7e-3 batch=2). HYPOTHESIS: this known-good VN config clears the ~0.84 breast LD-FBP floor and reproduces hr~0.45 on the new val200 split. If I re-use the strongest known config I expect hr>0 (recon beats FBP) because this architecture already cleared baseline on breast. train_n=400 for agentic signal, val_n=200 full held-out val, batch_size=2 conservative to avoid 512px OOM in the RBF-bump loop. max_train_s=1000 keeps train+score under the 20-min budget.
2		0.956666	0.0947113	keep	architecture	hammernik_2017-claude-agentic	claude-opus-4-8-1m	37.1885	4.720432e-03	1137.5	0.005379	hammernik_2017-claude-agentic: vn_T=3, vn_n_filters=16, vn_kernel=9, vn_n_bumps=31, vn_x_range=2.0, vn_filter_init_std=0.05, vn_rbf_init_std=0.01, vn_lambda_init=0.0097, epochs=30, batch_size=2, lr=0.00096, grad_clip=1.0, train_n=1600, val_n=200, seed=42, max_train_s=1000, rationale=iter-2 (six-box). PREV iter-1 NUMBERS: hr=0.5777, ssim=0.9849, PSNR=43.81, RMSE=2.20e-3, elapsed 1084.5s (fits 20-min budget), params 0.0054M, train_n=400. No failure mode -- clears the ~0.84 breast FBP floor strongly. DIAGNOSIS: this is a tiny 5.4k-param VN trained on only 400 of 3600 available train cases -> DATA-LIMITED, not capacity-limited (a 5k-param filter bank cannot overfit 400 cases, so more data should still lift it). ONE KNOB: train_n 400 -> 1600 (4x). All else held (T=3, filters=16, kernel=9, lambda_init=0.0097, epochs=30, lr=9.6e-4, batch=2, grad_clip=1.0, seed=42). HYPOTHESIS: feeding 4x more training data raises val hr above 0.5777 because the tiny filter bank is data-limited; predict hr > 0.59. BUDGET: max_train_s=1000 hard-caps wall (solver breaks epoch loop at 1000s); at 4x data the loop wall-truncates to ~7 epochs, staying under the 20-min budget + 30-min SLURM kill. batch_size=2 KEPT (512px OOM guard in the RBF-bump loop).
3		0.986615	0.592095	keep	architecture	hammernik_2017-claude-agentic	claude-opus-4-8-1m	44.113	2.126934e-03	1188.9	0.005379	hammernik_2017-claude-agentic: vn_T=3, vn_n_filters=16, vn_kernel=9, vn_n_bumps=31, vn_x_range=2.0, vn_filter_init_std=0.05, vn_rbf_init_std=0.01, vn_lambda_init=0.02, epochs=30, batch_size=2, lr=0.00096, grad_clip=1.0, train_n=400, val_n=200, seed=42, max_train_s=1100, rationale=iter-3 (six-box). PREV NUMBERS: iter-1 hr=0.5777 (train_n=400, 30 full epochs, ~1084s) BEST; iter-2 hr=0.0947 REGRESSED (train_n=1600 same 1000s wall -> epochs wall-truncated ~7-8, fewer effective passes/sample -> under-trained; SSIM 0.9849->0.9567, RMSE 2.2e-3->4.7e-3). FAILURE MODE (iter-2): under-training from the wall cap, NOT data-hunger -- my iter-2 data-limited hypothesis is FALSIFIED (train_n change was confounded by reduced effective epochs). LESSON: this VN needs its full epoch budget to converge; keep train_n at the working 400 where 30 epochs FIT the budget. RESET baseline to the iter-1 WINNER. ONE KNOB vs iter-1: vn_lambda_init 0.0097 -> 0.02 (~2x stronger data-fidelity anchor to the FBP init). HYPOTHESIS: a stronger lambda anchor keeps each unrolled step closer to the clean FBP init and reduces the learned regularizer over-smoothing the recon, so val hr rises above 0.5777; predict hr > 0.59. All else = iter-1 (T=3, filters=16, kernel=9, n_bumps=31, x_range=2.0, epochs=30, lr=9.6e-4, batch=2, grad_clip=1.0, seed=42, train_n=400). BUDGET: identical compute to iter-1 (lambda_init is free); max_train_s raised 1000->1100 so all 30 epochs complete (iter-1 hit 1084s and slightly clipped) -- still well under the 30-min SLURM kill. batch_size=2 (512px OOM guard).
4		0.933437	0	discard	architecture	hammernik_2017-claude-agentic	claude-opus-4-8-1m	28.6189	1.266073e-02	1190.2	0.005379	hammernik_2017-claude-agentic: vn_T=3, vn_n_filters=16, vn_kernel=9, vn_n_bumps=31, vn_x_range=2.0, vn_filter_init_std=0.05, vn_rbf_init_std=0.01, vn_lambda_init=0.05, epochs=30, batch_size=2, lr=0.00096, grad_clip=1.0, train_n=400, val_n=200, seed=42, max_train_s=1100, rationale=iter-4 (six-box). PREV NUMBERS: iter-1 hr=0.5777 (lambda=0.0097); iter-3 hr=0.5921 BEST (lambda=0.02, ssim 0.9866, PSNR 44.11, RMSE 2.13e-3, 1189s, all 30 ep). iter-2 hr=0.0947 was the under-trained outlier (ignored). FAILURE MODE: none -- raising lambda_init 0.0097->0.02 lifted hr +0.014; the learned regularizer was slightly over-smoothing the FBP init at low lambda, and a stronger data-fidelity anchor helps. GRADIENT: 'more lambda -> better' locally. ONE KNOB: vn_lambda_init 0.02 -> 0.05 (continue the winning direction, ~2.5x). HYPOTHESIS: pushing the FBP-init anchor further reduces regularizer over-smoothing and lifts hr above 0.5921, OR plateaus/regresses -- which localizes the lambda optimum. Predict hr >= 0.593 or a clear plateau. All else = iter-3 (T=3, filters=16, kernel=9, n_bumps=31, x_range=2.0, epochs=30, lr=9.6e-4, batch=2, grad_clip=1.0, seed=42, train_n=400, max_train_s=1100). BUDGET: lambda_init is FREE -> compute identical to iter-3 (~1189s), fits 20-min budget under the 30-min kill. batch_size=2 (512px OOM guard).
5	1176d9f5	0.989075	0.617378	keep	architecture	hammernik_2017-claude-agentic	claude-opus-4-8-1m	44.6688	1.995100e-03	1660.5	0.007172	hammernik_2017-claude-agentic: vn_T=4, vn_n_filters=16, vn_kernel=9, vn_n_bumps=31, vn_x_range=2.0, vn_filter_init_std=0.05, vn_rbf_init_std=0.01, vn_lambda_init=0.02, epochs=30, batch_size=2, lr=0.00096, grad_clip=1.0, train_n=400, val_n=200, seed=42, max_train_s=1550, rationale=iter-5 (six-box). LAMBDA SWEEP COMPLETE: iter-1 lambda=0.0097 hr=0.5777; iter-3 lambda=0.02 hr=0.5921 BEST; iter-4 lambda=0.05 hr=0.0 (RMSE 2.1e-3->1.27e-2, SSIM 0.9866->0.9334 -- COLLAPSE). FAILURE MODE (iter-4): lambda over-anchoring -- above ~0.02 the data-fidelity term drives each step too hard toward y_NN=FBP-of-NOISY (which carries sparse-view streaks), degrading the recon. The lambda optimum is a bracketed interior maximum at ~0.02. Lambda is now fully characterized -> DONE with it; RESET to the iter-3 winner (lambda=0.02) and evolve the ARCHITECTURE. ONE KNOB: vn_T (unroll/cascade depth) 3 -> 4 (the core VN capacity lever; one extra data+regularizer GD step of the variational energy). HYPOTHESIS: with lambda fixed at its optimum, a deeper unroll gives one more streak-suppression step, lifting hr above 0.5921; predict hr > 0.595, OR diminishing returns if T=3 already saturates the tiny 16-filter bank. All else = iter-3 (filters=16, kernel=9, n_bumps=31, x_range=2.0, epochs=30, lr=9.6e-4, batch=2, grad_clip=1.0, seed=42, train_n=400). BUDGET: T=4 is ~1.33x iter-3's per-step cost -> 30 full epochs ~1580s, still UNDER the 1800s SLURM kill; max_train_s=1550 guards the wall so all 30 epochs complete (NO iter-2-style under-training). batch_size=2 (512px OOM guard).
6	671da566		0	discard	architecture	hammernik_2017-claude-agentic	claude-opus-4-8-1m			6.6		hammernik_2017-claude-agentic: vn_T=5, vn_n_filters=16, vn_kernel=9, vn_n_bumps=31, vn_x_range=2.0, vn_filter_init_std=0.05, vn_rbf_init_std=0.01, vn_lambda_init=0.02, epochs=24, batch_size=2, lr=0.00096, grad_clip=1.0, train_n=400, val_n=200, seed=42, max_train_s=1650, rationale=iter-6 (six-box). DEPTH GRADIENT: iter-3 T=3 hr=0.5921 -> iter-5 T=4 hr=0.6174 (+0.025, NEW BEST, ssim 0.9891, RMSE 2.0e-3, 1660s). Lambda fixed at its optimum 0.02. FAILURE MODE: none -- each extra unroll step suppresses more sparse-view streaks. HYPOTHESIS KNOB: vn_T 4 -> 5 (continue the winning depth direction; one more data+regularizer GD step). Predict hr > 0.6174 unless the tiny 16-filter bank saturates. BUDGET NOTE: T=5 at 30 epochs would be ~2075s > the 1800s SLURM kill, so epochs is set to 24 as a DEPENDENT budget variable (NOT a hypothesis knob) to hold wall-time ~constant (24*T5 ~= 30*T4 ~1650s) -- this keeps the compute matched to iter-5 so the T=4->5 comparison is clean and avoids the iter-2 under-training trap (24 epochs still fully converges this VN, which plateaued well before 30 in iters 1/3/5). All else = iter-5 (filters=16, kernel=9, n_bumps=31, x_range=2.0, lr=9.6e-4, batch=2, grad_clip=1.0, seed=42, train_n=400). max_train_s=1650 guards the wall under the 1800s kill. batch_size=2 (512px OOM guard).
6	671da566	0.989542	0.632936	keep	architecture	hammernik_2017-claude-agentic	claude-opus-4-8-1m	45.0294	1.913973e-03	1732.1	0.008965	hammernik_2017-claude-agentic: vn_T=5, vn_n_filters=16, vn_kernel=9, vn_n_bumps=31, vn_x_range=2.0, vn_filter_init_std=0.05, vn_rbf_init_std=0.01, vn_lambda_init=0.02, epochs=24, batch_size=2, lr=0.00096, grad_clip=1.0, train_n=400, val_n=200, seed=42, max_train_s=1650, rationale=iter-6 (six-box). DEPTH GRADIENT: iter-3 T=3 hr=0.5921 -> iter-5 T=4 hr=0.6174 (+0.025, NEW BEST, ssim 0.9891, RMSE 2.0e-3, 1660s). Lambda fixed at its optimum 0.02. FAILURE MODE: none -- each extra unroll step suppresses more sparse-view streaks. HYPOTHESIS KNOB: vn_T 4 -> 5 (continue the winning depth direction; one more data+regularizer GD step). Predict hr > 0.6174 unless the tiny 16-filter bank saturates. BUDGET NOTE: T=5 at 30 epochs would be ~2075s > the 1800s SLURM kill, so epochs is set to 24 as a DEPENDENT budget variable (NOT a hypothesis knob) to hold wall-time ~constant (24*T5 ~= 30*T4 ~1650s) -- this keeps the compute matched to iter-5 so the T=4->5 comparison is clean and avoids the iter-2 under-training trap (24 epochs still fully converges this VN, which plateaued well before 30 in iters 1/3/5). All else = iter-5 (filters=16, kernel=9, n_bumps=31, x_range=2.0, lr=9.6e-4, batch=2, grad_clip=1.0, seed=42, train_n=400). max_train_s=1650 guards the wall under the 1800s kill. batch_size=2 (512px OOM guard).
7	671da566		0	discard	architecture	hammernik_2017-claude-agentic	claude-opus-4-8-1m			12.0		hammernik_2017-claude-agentic: vn_T=5, vn_n_filters=24, vn_kernel=9, vn_n_bumps=31, vn_x_range=2.0, vn_filter_init_std=0.05, vn_rbf_init_std=0.01, vn_lambda_init=0.02, epochs=16, batch_size=2, lr=0.00096, grad_clip=1.0, train_n=400, val_n=200, seed=42, max_train_s=1680, rationale=iter-7 (six-box). DEPTH gradient (lambda=0.02): T=3 hr=0.5921, T=4 hr=0.6174 (+0.025), T=5 hr=0.6329 (+0.016) -- positive but DECELERATING, and T=5 already ran 1732s near the 1800s kill so deeper T is budget-impractical. PIVOT to the other core VN capacity axis: filter-bank WIDTH. ONE KNOB vs iter-6 (best): vn_n_filters 16 -> 24 (paper default; more analysis filters = richer learned regularizer with more directional selectivity to separate sparse-view streaks from anatomy). HYPOTHESIS: widening 16->24 lifts hr above 0.6329; if it ties/regresses, the 16-filter bank was already sufficient and capacity is not the limiter. All else = iter-6 (T=5, kernel=9, n_bumps=31, x_range=2.0, lambda=0.02, lr=9.6e-4, batch=2, grad_clip=1.0, seed=42, train_n=400). BUDGET NOTE: 24 filters ~1.5x per-step cost vs 16; epochs is set to 16 as a DEPENDENT budget variable (NOT a hypothesis knob) to hold wall ~1730s under the 1800s kill (16f/T5/ep24 was 1732s -> 24f/T5/ep16 ~ matched). This VN plateaus early (iters 1/3/5 converged well before 30 ep) so ep=16 still fully converges -- avoids the iter-2 under-training trap. max_train_s=1680 guards the wall. batch_size=2 (512px OOM guard). NOTE infra: literal absolute AGENT4CT_MODEL_CKPT path (iter-6 first attempt false-failed on a stale double-slash ckpt; fixed).
7	671da566		0	discard	architecture	hammernik_2017-claude-agentic	claude-opus-4-8-1m			5.8		hammernik_2017-claude-agentic: vn_T=5, vn_n_filters=24, vn_kernel=9, vn_n_bumps=31, vn_x_range=2.0, vn_filter_init_std=0.05, vn_rbf_init_std=0.01, vn_lambda_init=0.02, epochs=16, batch_size=2, lr=0.00096, grad_clip=1.0, train_n=400, val_n=200, seed=42, max_train_s=1680, rationale=iter-7 (six-box). DEPTH gradient (lambda=0.02): T=3 hr=0.5921, T=4 hr=0.6174 (+0.025), T=5 hr=0.6329 (+0.016) -- positive but DECELERATING, and T=5 already ran 1732s near the 1800s kill so deeper T is budget-impractical. PIVOT to the other core VN capacity axis: filter-bank WIDTH. ONE KNOB vs iter-6 (best): vn_n_filters 16 -> 24 (paper default; more analysis filters = richer learned regularizer with more directional selectivity to separate sparse-view streaks from anatomy). HYPOTHESIS: widening 16->24 lifts hr above 0.6329; if it ties/regresses, the 16-filter bank was already sufficient and capacity is not the limiter. All else = iter-6 (T=5, kernel=9, n_bumps=31, x_range=2.0, lambda=0.02, lr=9.6e-4, batch=2, grad_clip=1.0, seed=42, train_n=400). BUDGET NOTE: 24 filters ~1.5x per-step cost vs 16; epochs is set to 16 as a DEPENDENT budget variable (NOT a hypothesis knob) to hold wall ~1730s under the 1800s kill (16f/T5/ep24 was 1732s -> 24f/T5/ep16 ~ matched). This VN plateaus early (iters 1/3/5 converged well before 30 ep) so ep=16 still fully converges -- avoids the iter-2 under-training trap. max_train_s=1680 guards the wall. batch_size=2 (512px OOM guard). NOTE infra: literal absolute AGENT4CT_MODEL_CKPT path (iter-6 first attempt false-failed on a stale double-slash ckpt; fixed).
7	671da566	0.979514	0.522712	keep	architecture	hammernik_2017-claude-agentic	claude-opus-4-8-1m	42.7486	2.488717e-03	1779.3	0.010756	hammernik_2017-claude-agentic: vn_T=4, vn_n_filters=24, vn_kernel=9, vn_n_bumps=31, vn_x_range=2.0, vn_filter_init_std=0.05, vn_rbf_init_std=0.01, vn_lambda_init=0.02, epochs=18, batch_size=2, lr=0.00096, grad_clip=1.0, train_n=400, val_n=200, seed=42, max_train_s=1680, rationale=iter-7 (six-box; RESCOPED after 2 OOMs). ORIGINAL plan (T=5,f=24) OOMed twice on 16GB RTX5000 in the _rho_prime RBF-bump loop (48MiB short; expandable_segments did not save it) -> FINDING: T=5 x 24-filter x 512px x 31-bump is memory-infeasible on the default node pool. Width axis must be tested at a memory-safe depth. DEPTH gradient recap (lambda=0.02): T=3 hr=0.5921, T=4 hr=0.6174, T=5 hr=0.6329 (best). ONE KNOB relative to iter-5 (T=4, f=16, hr=0.6174, ran 1660s memory-safe): vn_n_filters 16 -> 24 at T=4. HYPOTHESIS: widening the filter bank 16->24 at the memory-safe T=4 lifts hr above iter-5's 0.6174 (tests capacity/width independent of depth); if it also clears iter-6's 0.6329 the width axis beats the depth axis. All else = iter-5 (T=4, kernel=9, n_bumps=31, x_range=2.0, lambda=0.02, lr=9.6e-4, batch=2, grad_clip=1.0, seed=42, train_n=400). BUDGET: 24f/T4 ~1.5x iter-5 per-step; epochs=18 DEPENDENT budget var to hold wall <1700s under the 1800s kill; VN plateaus early so ep=18 converges. MEMORY: 24f/T4 is ~1.5x iter-5 forward memory (iter-5 was not near the 16GB limit) -> expected to fit; expandable_segments retained via --export as extra headroom. batch_size=2 (OOM guard).
